999987987,2025-06-27T18:15:16.956126300,12000.0,asdfasdf,telefono
200055663,2025-06-27T18:15:27.901342100,200.0,sdfdffff,telefono
159357357,2025-06-27T18:15:48.687671300,165.6,2asdfasdfasdf,telefono
654321987,2025-06-28T12:58:49.717010300,300.0,nuevo pago,telefono
548692321,2025-06-28T13:00:35.880234400,1200.0,pega numero 5,transferencia
159486321,2025-06-28T13:02:14.521538200,4.0,galletas,telefono
236987987,2025-06-28T13:02:43.080609,10.0,Libro,telefono
987987987,2025-06-28T14:25:43.878313300,200.0,asdfaf,telefono
321321321,2025-06-28T14:26:39.864111700,502.0,asdfasf,telefono
321321321,2025-06-28T14:26:59.365412500,200.0,adsasf,telefono
951951,2025-06-28T14:27:16.812958200,2000.0,sfdfdf,telefono
987987987,2025-06-28T14:50:04.313517200,5.0,asdf,telefono
321321,2025-06-28T14:52:45.115982500,200.0,hpña,telefono
